analisis,valor,modelo,pares,rutas_diferentes,tiempo_medio_min,desviacion_media_min,p90_medio_min,IC_medio_pct,efecto_observado,conclusion
Penalización de riesgo,0.0,Ajustada por variabilidad,3,0.0,9.064038138847595,1.431446220758471,10.947750156218005,83.69999999999999,Sin cambios hasta lambda 6; uno con 6.5 y dos desde 9.5,Estable ante penalizaciones moderadas y sensible desde lambda 6.5
Penalización de riesgo,0.5,Ajustada por variabilidad,3,0.0,9.064038138847595,1.431446220758471,10.947750156218005,83.69999999999999,Sin cambios hasta lambda 6; uno con 6.5 y dos desde 9.5,Estable ante penalizaciones moderadas y sensible desde lambda 6.5
Penalización de riesgo,1.0,Ajustada por variabilidad,3,0.0,9.064038138847595,1.431446220758471,10.947750156218005,83.69999999999999,Sin cambios hasta lambda 6; uno con 6.5 y dos desde 9.5,Estable ante penalizaciones moderadas y sensible desde lambda 6.5
Penalización de riesgo,1.5,Ajustada por variabilidad,3,0.0,9.064038138847595,1.431446220758471,10.947750156218005,83.69999999999999,Sin cambios hasta lambda 6; uno con 6.5 y dos desde 9.5,Estable ante penalizaciones moderadas y sensible desde lambda 6.5
Penalización de riesgo,2.0,Ajustada por variabilidad,3,0.0,9.064038138847595,1.431446220758471,10.947750156218005,83.69999999999999,Sin cambios hasta lambda 6; uno con 6.5 y dos desde 9.5,Estable ante penalizaciones moderadas y sensible desde lambda 6.5
Penalización de riesgo,2.5,Ajustada por variabilidad,3,0.0,9.064038138847595,1.431446220758471,10.947750156218005,83.69999999999999,Sin cambios hasta lambda 6; uno con 6.5 y dos desde 9.5,Estable ante penalizaciones moderadas y sensible desde lambda 6.5
Penalización de riesgo,3.0,Ajustada por variabilidad,3,0.0,9.064038138847595,1.431446220758471,10.947750156218005,83.69999999999999,Sin cambios hasta lambda 6; uno con 6.5 y dos desde 9.5,Estable ante penalizaciones moderadas y sensible desde lambda 6.5
Penalización de riesgo,3.5,Ajustada por variabilidad,3,0.0,9.064038138847595,1.431446220758471,10.947750156218005,83.69999999999999,Sin cambios hasta lambda 6; uno con 6.5 y dos desde 9.5,Estable ante penalizaciones moderadas y sensible desde lambda 6.5
Penalización de riesgo,4.0,Ajustada por variabilidad,3,0.0,9.064038138847595,1.431446220758471,10.947750156218005,83.69999999999999,Sin cambios hasta lambda 6; uno con 6.5 y dos desde 9.5,Estable ante penalizaciones moderadas y sensible desde lambda 6.5
Penalización de riesgo,4.5,Ajustada por variabilidad,3,0.0,9.064038138847595,1.431446220758471,10.947750156218005,83.69999999999999,Sin cambios hasta lambda 6; uno con 6.5 y dos desde 9.5,Estable ante penalizaciones moderadas y sensible desde lambda 6.5
Penalización de riesgo,5.0,Ajustada por variabilidad,3,0.0,9.064038138847595,1.431446220758471,10.947750156218005,83.69999999999999,Sin cambios hasta lambda 6; uno con 6.5 y dos desde 9.5,Estable ante penalizaciones moderadas y sensible desde lambda 6.5
Penalización de riesgo,5.5,Ajustada por variabilidad,3,0.0,9.064038138847595,1.431446220758471,10.947750156218005,83.69999999999999,Sin cambios hasta lambda 6; uno con 6.5 y dos desde 9.5,Estable ante penalizaciones moderadas y sensible desde lambda 6.5
Penalización de riesgo,6.0,Ajustada por variabilidad,3,0.0,9.064038138847595,1.431446220758471,10.947750156218005,83.69999999999999,Sin cambios hasta lambda 6; uno con 6.5 y dos desde 9.5,Estable ante penalizaciones moderadas y sensible desde lambda 6.5
Penalización de riesgo,6.5,Ajustada por variabilidad,3,1.0,9.07359399878558,1.432923755375305,10.951164878183183,83.73333333333333,Sin cambios hasta lambda 6; uno con 6.5 y dos desde 9.5,Estable ante penalizaciones moderadas y sensible desde lambda 6.5
Penalización de riesgo,7.0,Ajustada por variabilidad,3,1.0,9.07359399878558,1.432923755375305,10.951164878183183,83.73333333333333,Sin cambios hasta lambda 6; uno con 6.5 y dos desde 9.5,Estable ante penalizaciones moderadas y sensible desde lambda 6.5
Penalización de riesgo,7.5,Ajustada por variabilidad,3,1.0,9.07359399878558,1.432923755375305,10.951164878183183,83.73333333333333,Sin cambios hasta lambda 6; uno con 6.5 y dos desde 9.5,Estable ante penalizaciones moderadas y sensible desde lambda 6.5
Penalización de riesgo,8.0,Ajustada por variabilidad,3,1.0,9.07359399878558,1.432923755375305,10.951164878183183,83.73333333333333,Sin cambios hasta lambda 6; uno con 6.5 y dos desde 9.5,Estable ante penalizaciones moderadas y sensible desde lambda 6.5
Penalización de riesgo,8.5,Ajustada por variabilidad,3,1.0,9.07359399878558,1.432923755375305,10.951164878183183,83.73333333333333,Sin cambios hasta lambda 6; uno con 6.5 y dos desde 9.5,Estable ante penalizaciones moderadas y sensible desde lambda 6.5
